iteration,best_fitness
1,8.388881952525935
2,2.764273873462119
3,0.9335076501609654
4,0.20674281762220253
5,0.17571532862674033
6,0.03556204818160153
7,0.012590568099422687
8,0.0021056325316607637
9,0.0011432144243308292
10,0.0005158857729688647
11,0.00024866066671843116
12,0.00014027623874983435
13,1.6379444321530625e-05
14,1.6379444321530625e-05
15,1.6379444321530625e-05
16,8.759965441526862e-06
17,7.930728719017278e-06
18,5.224347060496782e-06
19,4.3910620924538406e-06
20,4.075698214734528e-06
21,3.31363208303053e-06
22,2.846888944885143e-06
23,2.7245944684562263e-06
24,2.5925311791284643e-06
25,2.497802621829375e-06
