iteration,best_fitness
1,529.5748205123369
2,518.1221666907145
3,419.5630458861826
4,32.72187655521468
5,32.72187655521468
6,32.72187655521468
7,32.72187655521468
8,32.72187655521468
9,32.72187655521468
10,32.72187655521468
11,32.72187655521468
12,21.71742417016625
13,20.033598355291883
14,14.591276359441844
15,0.44511838867675513
16,0.44511838867675513
17,0.44511838867675513
18,0.44511838867675513
19,0.44511838867675513
20,0.44511838867675513
21,0.44511838867675513
22,0.44511838867675513
23,0.44511838867675513
24,0.44511838867675513
25,0.44511838867675513
26,0.44511838867675513
27,0.2105355461829056
28,0.05770224781186017
29,0.05770224781186017
30,0.05770224781186017
31,0.05770224781186017
32,0.03039879635275902
33,0.03039879635275902
34,0.005232516269460354
35,0.0017697913118663688
36,0.00015574129082269005
37,0.00015574129082269005
38,0.00015574129082269005
39,0.00015574129082269005
40,0.00015574129082269005
41,7.443545300917333e-05
42,5.49068196961672e-05
43,4.690107321412219e-05
44,4.690107321412219e-05
45,3.240047419186301e-05
46,1.2764851598765588e-05
47,3.0391297872813157e-06
48,2.813120561561003e-06
49,5.858401591444477e-07
50,1.487427864593125e-07
51,1.487427864593125e-07
52,5.843009204260366e-08
53,2.7958707456982367e-08
54,2.138579644238385e-08
55,2.138579644238385e-08
56,1.7610944311469976e-08
57,1.0202977107912684e-08
58,1.0164424416465049e-08
59,3.788966801023032e-09
60,3.726655596932756e-09
61,1.9648406349839056e-09
62,1.4463601203488275e-09
63,9.946817334607957e-10
64,7.311664613118304e-10
65,5.981711593721739e-10
66,2.5921021590334063e-10
67,1.937352576187877e-10
68,1.203130952088891e-10
69,1.203130952088891e-10
70,1.203130952088891e-10
71,1.203130952088891e-10
72,1.203130952088891e-10
73,1.203130952088891e-10
74,8.892449126221053e-11
75,8.892449126221053e-11
76,8.892449126221053e-11
77,8.892449126221053e-11
78,8.892449126221053e-11
79,8.892449126221053e-11
80,8.892449126221053e-11
81,8.892449126221053e-11
82,8.892449126221053e-11
83,8.892449126221053e-11
84,8.892449126221053e-11
85,8.892449126221053e-11
86,8.892449126221053e-11
87,8.892449126221053e-11
88,8.892449126221053e-11
89,8.892449126221053e-11
90,8.892449126221053e-11
91,8.892449126221053e-11
92,8.892449126221053e-11
93,8.892449126221053e-11
94,8.892449126221053e-11
95,8.892449126221053e-11
96,8.892449126221053e-11
97,8.892449126221053e-11
98,8.892449126221053e-11
99,8.892449126221053e-11
100,8.892449126221053e-11
