iteration,best_fitness
1,0.15000000000000002
2,0.125
3,0.125
4,0.125
5,0.125
6,0.125
7,0.125
8,0.125
9,0.125
10,0.125
11,0.125
12,0.09999999999999998
13,0.09999999999999998
14,0.09999999999999998
15,0.09999999999999998
16,0.09999999999999998
17,0.09999999999999998
18,0.09999999999999998
19,0.09999999999999998
20,0.09999999999999998
21,0.09999999999999998
22,0.09999999999999998
23,0.09999999999999998
24,0.09999999999999998
25,0.09999999999999998
26,0.09999999999999998
27,0.07499999999999996
28,0.07499999999999996
29,0.07499999999999996
30,0.07499999999999996
31,0.07499999999999996
32,0.07499999999999996
33,0.07499999999999996
34,0.07499999999999996
35,0.07499999999999996
36,0.07499999999999996
37,0.07499999999999996
38,0.07499999999999996
39,0.07499999999999996
40,0.07499999999999996
41,0.07499999999999996
42,0.07499999999999996
43,0.07499999999999996
44,0.07499999999999996
45,0.07499999999999996
46,0.07499999999999996
47,0.07499999999999996
48,0.07499999999999996
49,0.07499999999999996
50,0.07499999999999996
